Ability,Use_Percentage (%),Pokemon
Contrary,0.350%,Shuckle
Gluttony,0.031%,Shuckle
Defiant,100.000%,Galarian Zapdos
Flame Body,99.713%,Volcarona
Swarm,0.287%,Volcarona
Prankster,99.520%,Meowstic Male
Keen Eye,0.462%,Meowstic Male
Competitive,0.014%,Meowstic Male
Infiltrator,0.004%,Meowstic Male
Fur Coat,98.708%,Alolan Persian
Rattled,1.287%,Alolan Persian
Technician,0.006%,Alolan Persian
Thick Fat,52.198%,Snorlax
Gluttony,47.525%,Snorlax
Immunity,0.277%,Snorlax
Beast Boost,100.000%,Stakataka
Volt Absorb,100.000%,Thundurus Therian Forme
Berserk,100.000%,Galarian Moltres
Gale Wings,99.889%,Talonflame
Flame Body,0.111%,Talonflame
Competitive,99.729%,Milotic
Marvel Scale,0.271%,Milotic
Cute Charm,0.000%,Milotic
Unnerve,74.627%,Mewtwo
Pressure,25.373%,Mewtwo
Clear Body,99.769%,Klinklang
Minus,0.226%,Klinklang
Plus,0.005%,Klinklang
Sniper,82.305%,Inteleon
Torrent,17.695%,Inteleon
Intimidate,94.950%,Salamence
Moxie,5.050%,Salamence
Healer,50.680%,Hatterene
Magic Bounce,49.320%,Hatterene
Anticipation,0.000%,Hatterene
Inner Focus,100.000%,Sneasel
Pickpocket,0.000%,Sneasel
Keen Eye,0.000%,Sneasel
Overcoat,97.221%,Escavalier
Swarm,2.107%,Escavalier
Shell Armor,0.673%,Escavalier
Levitate,100.000%,Wash Rotom
Drizzle,99.879%,Politoed
Water Absorb,0.121%,Politoed
Damp,0.000%,Politoed
Swift Swim,92.872%,Ludicolo
Rain Dish,7.128%,Ludicolo
Own Tempo,0.000%,Ludicolo
Oblivious,95.974%,Slowking
Regenerator,3.927%,Slowking
Own Tempo,0.099%,Slowking
Torrent,94.510%,Swampert
Damp,5.490%,Swampert
Sap Sipper,77.089%,Azumarill
Huge Power,22.903%,Azumarill
Thick Fat,0.008%,Azumarill
Technician,100.000%,Scizor
Swarm,0.000%,Scizor
Light Metal,0.000%,Scizor
Competitive,100.000%,Galarian Articuno
Sand Stream,99.698%,Tyranitar
Unnerve,0.302%,Tyranitar
Lightning Rod,98.783%,Pikachu
Static,1.217%,Pikachu
Snow Warning,99.852%,Alolan Ninetales
Snow Cloak,0.148%,Alolan Ninetales
Lightning Rod,82.874%,Alolan Marowak
Rock Head,10.217%,Alolan Marowak
Cursed Body,6.910%,Alolan Marowak
Regenerator,96.131%,Slowbro
Oblivious,3.868%,Slowbro
Own Tempo,0.001%,Slowbro
Levitate,100.000%,Giratina Origin Forme
Regenerator,99.935%,Toxapex
Merciless,0.064%,Toxapex
Limber,0.001%,Toxapex
Inner Focus,97.995%,Raikou
Pressure,2.005%,Raikou
Drizzle,99.816%,Pelipper
Rain Dish,0.184%,Pelipper
Keen Eye,0.000%,Pelipper
Neutralizing Gas,99.770%,Galarian Weezing
Misty Surge,0.223%,Galarian Weezing
Levitate,0.007%,Galarian Weezing
Hyper Cutter,99.990%,Kingler
Sheer Force,0.010%,Kingler
Shell Armor,0.000%,Kingler
Telepathy,47.056%,Oranguru
Inner Focus,34.194%,Oranguru
Symbiosis,18.750%,Oranguru
Beast Boost,100.000%,Nihilego
Lightning Rod,94.650%,Togedemaru
Sturdy,4.155%,Togedemaru
Iron Barbs,1.194%,Togedemaru
Intimidate,89.587%,Gyarados
Moxie,10.413%,Gyarados
Rough Skin,83.814%,Garchomp
Sand Veil,16.186%,Garchomp
Dry Skin,86.216%,Heliolisk
Solar Power,11.701%,Heliolisk
Sand Veil,2.084%,Heliolisk
Grassy Surge,99.915%,Tapu Bulu
Telepathy,0.085%,Tapu Bulu
Scrappy,99.569%,Kangaskhan
Inner Focus,0.431%,Kangaskhan
Early Bird,0.000%,Kangaskhan
Flame Body,99.878%,Moltres
Pressure,0.122%,Moltres
Anger Point,45.194%,Krookodile
Intimidate,35.456%,Krookodile
Moxie,19.349%,Krookodile
Unburden,99.957%,Drifblim
Aftermath,0.028%,Drifblim
Flare Boost,0.015%,Drifblim
Sand Rush,55.376%,Excadrill
Mold Breaker,44.601%,Excadrill
Sand Force,0.023%,Excadrill
Liquid Voice,89.378%,Primarina
Torrent,10.622%,Primarina
Chlorophyll,100.000%,Shiftry
Early Bird,0.000%,Shiftry
Pickpocket,0.000%,Shiftry
Flash Fire,96.273%,Chandelure
Infiltrator,3.642%,Chandelure
Flame Body,0.085%,Chandelure
Dry Skin,97.862%,Toxicroak
Anticipation,1.887%,Toxicroak
Poison Touch,0.250%,Toxicroak
Hustle,68.885%,Dracozolt
Sand Rush,29.760%,Dracozolt
Volt Absorb,1.355%,Dracozolt
Unburden,95.001%,Sceptile
Overgrow,4.999%,Sceptile
Electric Surge,98.667%,Pincurchin
Lightning Rod,1.333%,Pincurchin
Stance Change,100.000%,Aegislash Shield Forme
White Smoke,99.043%,Centiskorch
Flash Fire,0.957%,Centiskorch
Flame Body,0.000%,Centiskorch
Cheek Pouch,100.000%,Greedent
Gluttony,0.000%,Greedent
Adaptability,99.959%,Porygon-Z
Analytic,0.028%,Porygon-Z
Download,0.013%,Porygon-Z
Compound Eyes,99.334%,Butterfree
Tinted Lens,0.666%,Butterfree
Inner Focus,83.157%,Lucario
Justified,16.457%,Lucario
Steadfast,0.385%,Lucario
Inner Focus,40.005%,Mudsdale
Own Tempo,36.643%,Mudsdale
Stamina,23.352%,Mudsdale
Flower Gift,100.000%,Cherrim
Harvest,82.502%,Exeggutor
Chlorophyll,17.498%,Exeggutor
Cloud Nine,99.797%,Altaria
Natural Cure,0.203%,Altaria
Prankster,100.000%,Klefki
Magician,0.000%,Klefki
Cursed Body,98.382%,Froslass
Snow Cloak,1.618%,Froslass
Sand Stream,97.928%,Gigalith
Sand Force,1.874%,Gigalith
Sturdy,0.198%,Gigalith
Water Absorb,94.582%,Jellicent
Cursed Body,5.418%,Jellicent
Damp,0.000%,Jellicent
Prankster,99.996%,Riolu
Steadfast,0.004%,Riolu
Inner Focus,0.000%,Riolu
Overcoat,62.594%,Mandibuzz
Weak Armor,37.405%,Mandibuzz
Big Pecks,0.001%,Mandibuzz
Contrary,99.998%,Lurantis
Leaf Guard,0.002%,Lurantis
Levitate,100.000%,Latias
Frisk,58.873%,Alolan Exeggutor
Harvest,41.127%,Alolan Exeggutor
Multiscale,68.634%,Dragonite
Inner Focus,31.366%,Dragonite
Sheer Force,99.903%,Darmanitan Standard Mode
Zen Mode,0.097%,Darmanitan Standard Mode
Storm Drain,99.993%,Cradily
Suction Cups,0.007%,Cradily
Defiant,92.337%,Obstagoon
Guts,7.593%,Obstagoon
Reckless,0.070%,Obstagoon
Intimidate,99.995%,Scrafty
Shed Skin,0.004%,Scrafty
Moxie,0.000%,Scrafty
Unnerve,74.095%,Aerodactyl
Rock Head,14.632%,Aerodactyl
Pressure,11.273%,Aerodactyl
Weak Armor,87.176%,Kabutops
Swift Swim,12.822%,Kabutops
Battle Armor,0.002%,Kabutops
Snow Cloak,55.412%,Articuno
Pressure,44.588%,Articuno
Beast Boost,100.000%,Blacephalon
Stalwart,92.912%,Duraludon
Light Metal,6.695%,Duraludon
Heavy Metal,0.393%,Duraludon
Frisk,97.728%,Trevenant
Harvest,2.271%,Trevenant
Natural Cure,0.001%,Trevenant
Swift Swim,99.997%,Drednaw
Strong Jaw,0.003%,Drednaw
Shell Armor,0.000%,Drednaw
Flash Fire,97.556%,Heatran
Flame Body,2.444%,Heatran
Unaware,88.634%,Clefable
