Use_Percentage (%),Pokemon,Teammate
70.196%,Thundurus Therian Forme,Zacian Crowned Sword
42.898%,Galarian Moltres,Zacian Crowned Sword
47.145%,Talonflame,Zacian Crowned Sword
34.365%,Milotic,Zacian Crowned Sword
51.952%,Mewtwo,Zacian Crowned Sword
75.950%,Inteleon,Zacian Crowned Sword
72.967%,Salamence,Zacian Crowned Sword
8.956%,Sneasel,Zacian Crowned Sword
60.672%,Wash Rotom,Zacian Crowned Sword
81.144%,Politoed,Zacian Crowned Sword
33.582%,Ludicolo,Zacian Crowned Sword
84.981%,Swampert,Zacian Crowned Sword
36.372%,Tyranitar,Zacian Crowned Sword
41.961%,Pikachu,Zacian Crowned Sword
30.920%,Alolan Ninetales,Zacian Crowned Sword
63.914%,Slowbro,Zacian Crowned Sword
80.799%,Pelipper,Zacian Crowned Sword
26.728%,Galarian Weezing,Zacian Crowned Sword
47.922%,Kingler,Zacian Crowned Sword
59.092%,Nihilego,Zacian Crowned Sword
48.502%,Gyarados,Zacian Crowned Sword
63.682%,Garchomp,Zacian Crowned Sword
5.455%,Heliolisk,Zacian Crowned Sword
44.839%,Tapu Bulu,Zacian Crowned Sword
17.774%,Kangaskhan,Zacian Crowned Sword
64.729%,Moltres,Zacian Crowned Sword
46.724%,Excadrill,Zacian Crowned Sword
20.033%,Primarina,Zacian Crowned Sword
76.358%,Shiftry,Zacian Crowned Sword
70.533%,Chandelure,Zacian Crowned Sword
7.904%,Toxicroak,Zacian Crowned Sword
22.451%,Dracozolt,Zacian Crowned Sword
13.692%,Sceptile,Zacian Crowned Sword
16.196%,Aegislash Shield Forme,Zacian Crowned Sword
42.535%,Centiskorch,Zacian Crowned Sword
95.452%,Greedent,Zacian Crowned Sword
52.698%,Porygon-Z,Zacian Crowned Sword
48.711%,Butterfree,Zacian Crowned Sword
49.805%,Mudsdale,Zacian Crowned Sword
29.513%,Cherrim,Zacian Crowned Sword
26.046%,Altaria,Zacian Crowned Sword
44.851%,Klefki,Zacian Crowned Sword
36.304%,Froslass,Zacian Crowned Sword
78.428%,Gigalith,Zacian Crowned Sword
35.825%,Jellicent,Zacian Crowned Sword
41.762%,Mandibuzz,Zacian Crowned Sword
40.801%,Latias,Zacian Crowned Sword
31.361%,Dragonite,Zacian Crowned Sword
48.014%,Darmanitan Standard Mode,Zacian Crowned Sword
41.617%,Cradily,Zacian Crowned Sword
75.555%,Obstagoon,Zacian Crowned Sword
24.802%,Scrafty,Zacian Crowned Sword
70.189%,Kabutops,Zacian Crowned Sword
55.147%,Duraludon,Zacian Crowned Sword
66.854%,Heatran,Zacian Crowned Sword
36.547%,Appletun,Zacian Crowned Sword
38.218%,Bisharp,Zacian Crowned Sword
31.429%,Rhyperior,Zacian Crowned Sword
65.041%,Stonjourner,Zacian Crowned Sword
5.312%,Electivire,Zacian Crowned Sword
42.372%,Leafeon,Zacian Crowned Sword
92.159%,Diggersby,Zacian Crowned Sword
17.204%,Giratina Altered Forme,Zacian Crowned Sword
16.510%,Corviknight,Zacian Crowned Sword
39.367%,Durant,Zacian Crowned Sword
39.014%,Cresselia,Zacian Crowned Sword
93.029%,Wishiwashi Solo Form,Zacian Crowned Sword
91.058%,Boltund,Zacian Crowned Sword
14.839%,Cobalion,Zacian Crowned Sword
68.825%,Mantine,Zacian Crowned Sword
69.681%,Machamp,Zacian Crowned Sword
20.231%,Accelgor,Zacian Crowned Sword
50.254%,Xurkitree,Zacian Crowned Sword
73.885%,Tauros,Zacian Crowned Sword
60.871%,Luxray,Zacian Crowned Sword
15.452%,Palossand,Zacian Crowned Sword
41.813%,Crobat,Zacian Crowned Sword
11.656%,Tyrantrum,Zacian Crowned Sword
85.177%,Cinccino,Zacian Crowned Sword
9.986%,Kommo-o,Zacian Crowned Sword
60.248%,Blissey,Zacian Crowned Sword
74.181%,Cloyster,Zacian Crowned Sword
82.838%,Drampa,Zacian Crowned Sword
57.146%,Hawlucha,Zacian Crowned Sword
66.779%,Mime Galarian Mr. Mime,Zacian Crowned Sword
22.683%,Incineroar,Charizard
36.087%,Grimmsnarl,Charizard
72.403%,Groudon,Charizard
13.580%,Thundurus Incarnate Forme,Charizard
45.372%,Gastrodon,Charizard
8.957%,Whimsicott,Charizard
14.708%,Venusaur,Charizard
44.081%,Xerneas,Charizard
39.053%,Lunala,Charizard
24.874%,Tapu Fini,Charizard
11.781%,Sableye,Charizard
9.394%,Bronzong,Charizard
14.637%,Dragapult,Charizard
32.414%,Umbreon,Charizard
37.121%,Spectrier,Charizard
85.794%,Dawn Wings Necrozma,Charizard
47.839%,Suicune,Charizard
8.488%,Weavile,Charizard
12.104%,Mewtwo,Charizard
6.257%,Sneasel,Charizard
51.474%,Garchomp,Charizard
48.761%,Chandelure,Charizard
7.581%,Exeggutor,Charizard
36.443%,Klefki,Charizard
5.272%,Lurantis,Charizard
54.519%,Aerodactyl,Charizard
19.598%,Bisharp,Charizard
12.393%,Rhyperior,Charizard
14.805%,Stonjourner,Charizard
27.162%,Cresselia,Charizard
48.981%,Boltund,Charizard
18.492%,Terrakion,Charizard
22.703%,Goodra,Charizard
2.817%,Mime Galarian Mr. Mime,Charizard
32.866%,Ninetales,Charizard
36.755%,Malamar,Charizard
23.066%,Vileplume,Charizard
1.818%,Arctovish,Charizard
25.813%,Maractus,Charizard
18.692%,Incineroar,Amoonguss
21.721%,Regieleki,Amoonguss
17.854%,Landorus Therian Forme,Amoonguss
19.386%,Yveltal,Amoonguss
51.585%,Calyrex Ice Rider,Amoonguss
65.320%,Palkia,Amoonguss
25.303%,Porygon2,Amoonguss
40.781%,Tornadus Incarnate Forme,Amoonguss
11.350%,Zapdos,Amoonguss
31.812%,Kartana,Amoonguss
17.932%,Urshifu Single Strike Style,Amoonguss
15.162%,Xerneas,Amoonguss
63.232%,Dusclops,Amoonguss
16.603%,Torkoal,Amoonguss
31.299%,Raichu,Amoonguss
36.602%,Lunala,Amoonguss
14.378%,White Kyurem,Amoonguss
20.371%,Tapu Fini,Amoonguss
59.037%,Tapu Lele,Amoonguss
33.916%,Mimikyu,Amoonguss
15.683%,Heat Rotom,Amoonguss
28.807%,Lapras,Amoonguss
16.543%,Rayquaza,Amoonguss
13.756%,Barraskewda,Amoonguss
17.874%,Metagross,Amoonguss
56.807%,Pheromosa,Amoonguss
12.048%,Landorus Incarnate Forme,Amoonguss
21.201%,Dusk Mane Necrozma,Amoonguss
10.291%,Alcremie,Amoonguss
26.699%,Tapu Koko,Amoonguss
15.264%,Liepard,Amoonguss
41.294%,Meowstic Male,Amoonguss
5.418%,Alolan Persian,Amoonguss
21.316%,Stakataka,Amoonguss
12.786%,Galarian Moltres,Amoonguss
11.134%,Milotic,Amoonguss
35.613%,Escavalier,Amoonguss
8.740%,Wash Rotom,Amoonguss
6.964%,Scizor,Amoonguss
40.533%,Alolan Marowak,Amoonguss
61.510%,Pelipper,Amoonguss
15.012%,Oranguru,Amoonguss
67.786%,Kangaskhan,Amoonguss
34.459%,Pincurchin,Amoonguss
30.773%,Latias,Amoonguss
41.251%,Articuno,Amoonguss
58.277%,Trevenant,Amoonguss
29.837%,Heatran,Amoonguss
77.741%,Clefable,Amoonguss
9.611%,Registeel,Amoonguss
1.519%,Wishiwashi Solo Form,Amoonguss
8.578%,Mantine,Amoonguss
69.528%,Machamp,Amoonguss
74.942%,Tyrantrum,Amoonguss
28.209%,Kommo-o,Amoonguss
47.567%,Blaziken,Amoonguss
17.126%,Hawlucha,Amoonguss
36.796%,Zoroark,Amoonguss
2.680%,Haxorus,Amoonguss
42.162%,Runerigus,Amoonguss
23.146%,Braviary,Amoonguss
13.560%,Alakazam,Amoonguss
87.486%,Torracat,Amoonguss
18.081%,Cofagrigus,Amoonguss
37.210%,Sharpedo,Amoonguss
24.907%,Mr. Mime,Amoonguss
24.602%,Magnezone,Amoonguss
19.466%,Unfezant,Amoonguss
18.788%,Perrserker,Amoonguss
20.777%,Heracross,Amoonguss
20.279%,Cursola,Amoonguss
20.782%,Falinks,Amoonguss
21.741%,Galarian Corsola,Amoonguss
16.716%,Orbeetle,Amoonguss
11.810%,Scyther,Amoonguss
31.464%,Poliwrath,Amoonguss
12.947%,Lycanroc Midnight Form,Amoonguss
14.789%,Golurk,Amoonguss
28.961%,Kyogre,Indeedee Female
18.666%,Regieleki,Indeedee Female
22.060%,Calyrex Shadow Rider,Indeedee Female
21.935%,Landorus Therian Forme,Indeedee Female
38.753%,Whimsicott,Indeedee Female
22.485%,Calyrex Ice Rider,Indeedee Female
19.664%,Palkia,Indeedee Female
23.412%,Porygon2,Indeedee Female
21.590%,Kartana,Indeedee Female
30.206%,Ditto,Indeedee Female
25.473%,Urshifu Single Strike Style,Indeedee Female
18.368%,Xerneas,Indeedee Female
51.639%,Shedinja,Indeedee Female
18.666%,Dusclops,Indeedee Female
21.320%,Torkoal,Indeedee Female
61.284%,Kingdra,Indeedee Female
15.781%,Entei,Indeedee Female
40.784%,White Kyurem,Indeedee Female
14.728%,Urshifu Rapid Strike Style,Indeedee Female
13.866%,Mimikyu,Indeedee Female
42.308%,Cinderace,Indeedee Female
20.727%,Togekiss,Indeedee Female
21.434%,Dragapult,Indeedee Female
3.907%,Dawn Wings Necrozma,Indeedee Female
39.425%,Barraskewda,Indeedee Female
20.275%,Araquanid,Indeedee Female
24.441%,Pheromosa,Indeedee Female
33.597%,Mienshao,Indeedee Female
22.824%,Lugia,Indeedee Female
39.270%,Chansey,Indeedee Female
21.020%,Dusk Mane Necrozma,Indeedee Female
41.503%,Liepard,Indeedee Female
33.990%,Hydreigon,Indeedee Female
51.136%,Dracovish,Indeedee Female
44.403%,Regidrago,Indeedee Female
42.850%,Hitmontop,Indeedee Female
58.475%,Shuckle,Indeedee Female
51.078%,Snorlax,Indeedee Female
35.053%,Stakataka,Indeedee Female
40.965%,Thundurus Therian Forme,Indeedee Female
23.876%,Talonflame,Indeedee Female
27.253%,Mewtwo,Indeedee Female
86.796%,Klinklang,Indeedee Female
65.460%,Inteleon,Indeedee Female
19.270%,Hatterene,Indeedee Female
23.834%,Galarian Articuno,Indeedee Female
17.285%,Alolan Ninetales,Indeedee Female
36.441%,Alolan Marowak,Indeedee Female
62.778%,Slowbro,Indeedee Female
28.449%,Kingler,Indeedee Female
66.271%,Oranguru,Indeedee Female
9.045%,Garchomp,Indeedee Female
9.828%,Moltres,Indeedee Female
91.312%,Drifblim,Indeedee Female
51.264%,Dracozolt,Indeedee Female
35.570%,Aegislash Shield Forme,Indeedee Female
95.616%,Greedent,Indeedee Female
20.929%,Riolu,Indeedee Female
24.165%,Mandibuzz,Indeedee Female
11.337%,Lurantis,Indeedee Female
64.725%,Alolan Exeggutor,Indeedee Female
32.076%,Dragonite,Indeedee Female
57.845%,Aerodactyl,Indeedee Female
60.994%,Trevenant,Indeedee Female
79.181%,Drednaw,Indeedee Female
3.194%,Clefable,Indeedee Female
11.482%,Rhyperior,Indeedee Female
7.282%,Stonjourner,Indeedee Female
52.213%,Electivire,Indeedee Female
9.101%,Vikavolt,Indeedee Female
37.469%,Durant,Indeedee Female
93.042%,Wishiwashi Solo Form,Indeedee Female
14.873%,Cobalion,Indeedee Female
44.966%,Silvally,Indeedee Female
25.728%,Xurkitree,Indeedee Female
22.702%,Mow Rotom,Indeedee Female
50.899%,Espeon,Indeedee Female
46.381%,Kommo-o,Indeedee Female
11.296%,Blaziken,Indeedee Female
27.496%,Hawlucha,Indeedee Female
21.052%,Lilligant,Indeedee Female
45.281%,Clawitzer,Indeedee Female
82.967%,Qwilfish,Indeedee Female
83.084%,Haxorus,Indeedee Female
33.493%,Dhelmise,Indeedee Female
28.404%,Braviary,Indeedee Female
27.907%,Virizion,Indeedee Female
53.223%,Alolan Raichu,Indeedee Female
28.380%,Beartic,Indeedee Female
31.950%,Copperajah,Indeedee Female
8.324%,Flapple,Indeedee Female
15.996%,Sylveon,Indeedee Female
24.102%,Slurpuff,Indeedee Female
6.698%,Eiscue Ice Face,Indeedee Female
13.446%,Hippowdon,Indeedee Female
65.665%,Alakazam,Indeedee Female
10.983%,Thievul,Indeedee Female
16.801%,Cofagrigus,Indeedee Female
30.362%,Starmie,Indeedee Female
13.133%,Turtonator,Indeedee Female
31.630%,Ribombee,Indeedee Female
3.601%,Charjabug,Indeedee Female
51.162%,Mr. Mime,Indeedee Female
17.175%,Gallade,Indeedee Female
34.532%,Malamar,Indeedee Female
28.581%,Golduck,Indeedee Female
19.480%,Unfezant,Indeedee Female
33.843%,Perrserker,Indeedee Female
74.109%,Galarian Slowbro,Indeedee Female
15.979%,Roserade,Indeedee Female
46.333%,Tangrowth,Indeedee Female
4.223%,Eldegoss,Indeedee Female
68.768%,Aromatisse,Indeedee Female
21.590%,Vileplume,Indeedee Female
36.847%,Cursola,Indeedee Female
38.172%,Falinks,Indeedee Female
17.766%,Flygon,Indeedee Female
49.347%,Crustle,Indeedee Female
42.216%,Reuniclus,Indeedee Female
25.741%,Dusknoir,Indeedee Female
45.687%,Exploud,Indeedee Female
13.225%,Wigglytuff,Indeedee Female
80.533%,Gardevoir,Indeedee Female
5.956%,Vanilluxe,Indeedee Female
18.839%,Orbeetle,Indeedee Female
24.128%,Lycanroc Midday Form,Indeedee Female
84.651%,Beheeyem,Indeedee Female
38.584%,Marowak,Indeedee Female
22.455%,Tentacruel,Indeedee Female
36.895%,Dragalge,Indeedee Female
7.833%,Bewear,Indeedee Female
11.978%,Scyther,Indeedee Female
12.826%,Alolan Sandslash,Indeedee Female
29.858%,Poliwrath,Indeedee Female
84.987%,Fan Rotom,Indeedee Female
13.502%,Scolipede,Indeedee Female
52.447%,Dunsparce,Indeedee Female
12.345%,Sandslash,Indeedee Female
24.176%,Noctowl,Indeedee Female
6.069%,Corsola,Indeedee Female
99.480%,Mime Jr.,Indeedee Female
25.290%,Kyogre,Whimsicott
22.053%,Regieleki,Whimsicott
28.769%,Calyrex Shadow Rider,Whimsicott
15.466%,Thundurus Incarnate Forme,Whimsicott
8.181%,Charizard,Whimsicott
36.740%,Indeedee Female,Whimsicott
15.045%,Zapdos,Whimsicott
20.700%,Kartana,Whimsicott
24.514%,Ferrothorn,Whimsicott
28.139%,Ditto,Whimsicott
26.205%,Urshifu Single Strike Style,Whimsicott
21.383%,Dialga,Whimsicott
32.840%,Weezing,Whimsicott
17.854%,Entei,Whimsicott
45.426%,White Kyurem,Whimsicott
23.148%,Urshifu Rapid Strike Style,Whimsicott
33.412%,Tapu Lele,Whimsicott
47.184%,Regigigas,Whimsicott
49.813%,Cinderace,Whimsicott
25.718%,Togekiss,Whimsicott
37.438%,Umbreon,Whimsicott
65.836%,Indeedee Male,Whimsicott
13.266%,Rayquaza,Whimsicott
21.644%,Mamoswine,Whimsicott
44.935%,Barraskewda,Whimsicott
31.957%,Celesteela,Whimsicott
33.808%,Pheromosa,Whimsicott
21.234%,Arcanine,Whimsicott
28.068%,Clefairy,Whimsicott
22.627%,Mienshao,Whimsicott
22.919%,Lugia,Whimsicott
18.498%,Hydreigon,Whimsicott
22.792%,Tsareena,Whimsicott
44.299%,Dracovish,Whimsicott
64.790%,Regidrago,Whimsicott
45.171%,Hitmontop,Whimsicott
40.269%,Darmanitan Galarian Standard Mode,Whimsicott
14.987%,Galarian Zapdos,Whimsicott
26.071%,Snorlax,Whimsicott
37.462%,Thundurus Therian Forme,Whimsicott
14.923%,Galarian Moltres,Whimsicott
21.385%,Mewtwo,Whimsicott
86.377%,Klinklang,Whimsicott
12.923%,Inteleon,Whimsicott
6.440%,Politoed,Whimsicott
8.108%,Scizor,Whimsicott
26.951%,Tyranitar,Whimsicott
41.875%,Pikachu,Whimsicott
20.086%,Alolan Ninetales,Whimsicott
37.316%,Raikou,Whimsicott
17.728%,Pelipper,Whimsicott
2.664%,Galarian Weezing,Whimsicott
15.990%,Nihilego,Whimsicott
18.698%,Gyarados,Whimsicott
53.153%,Garchomp,Whimsicott
49.083%,Moltres,Whimsicott
32.404%,Excadrill,Whimsicott
51.902%,Chandelure,Whimsicott
51.563%,Dracozolt,Whimsicott
31.778%,Pincurchin,Whimsicott
22.077%,Aegislash Shield Forme,Whimsicott
21.550%,Centiskorch,Whimsicott
39.024%,Porygon-Z,Whimsicott
28.200%,Butterfree,Whimsicott
15.283%,Lucario,Whimsicott
66.615%,Exeggutor,Whimsicott
20.009%,Riolu,Whimsicott
25.113%,Dragonite,Whimsicott
31.216%,Scrafty,Whimsicott
67.502%,Kabutops,Whimsicott
24.973%,Blacephalon,Whimsicott
55.266%,Duraludon,Whimsicott
3.984%,Clefable,Whimsicott
14.870%,Stonjourner,Whimsicott
52.319%,Electivire,Whimsicott
78.243%,Durant,Whimsicott
54.186%,Terrakion,Whimsicott
55.797%,Cobalion,Whimsicott
30.057%,Xurkitree,Whimsicott
3.589%,Tauros,Whimsicott
60.642%,Luxray,Whimsicott
15.347%,Manectric,Whimsicott
11.297%,Cloyster,Whimsicott
3.462%,Mime Galarian Mr. Mime,Whimsicott
4.984%,Haxorus,Whimsicott
14.888%,Virizion,Whimsicott
55.523%,Flapple,Whimsicott
37.984%,Sylveon,Whimsicott
46.381%,Arctozolt,Whimsicott
9.319%,Turtonator,Whimsicott
23.402%,Salazzle,Whimsicott
30.176%,Toxtricity Low Key Form,Whimsicott
24.019%,Mr. Mime,Whimsicott
21.934%,Gallade,Whimsicott
12.342%,Malamar,Whimsicott
13.669%,Golisopod,Whimsicott
33.106%,Shiinotic,Whimsicott
42.693%,Polteageist,Whimsicott
82.991%,Eldegoss,Whimsicott
17.538%,Aromatisse,Whimsicott
17.421%,Gourgeist Super Size,Whimsicott
13.581%,Gardevoir,Whimsicott
37.466%,Galarian Corsola,Whimsicott
80.074%,Vanilluxe,Whimsicott
20.454%,Passimian,Whimsicott
87.438%,Druddigon,Whimsicott
34.717%,Scyther,Whimsicott
59.767%,Golurk,Whimsicott
99.986%,Gourgeist Large Size,Whimsicott
18.255%,Kyogre,Tornadus Incarnate Forme
17.343%,Amoonguss,Tornadus Incarnate Forme
44.397%,Kartana,Tornadus Incarnate Forme
24.607%,Solgaleo,Tornadus Incarnate Forme
40.358%,Raichu,Tornadus Incarnate Forme
50.795%,Tapu Lele,Tornadus Incarnate Forme
7.385%,Bronzong,Tornadus Incarnate Forme
5.115%,Coalossal,Tornadus Incarnate Forme
19.043%,Spectrier,Tornadus Incarnate Forme
26.598%,Tsareena,Tornadus Incarnate Forme
21.481%,Volcarona,Tornadus Incarnate Forme
11.514%,Thundurus Therian Forme,Tornadus Incarnate Forme
17.129%,Inteleon,Tornadus Incarnate Forme
14.014%,Ludicolo,Tornadus Incarnate Forme
71.970%,Giratina Origin Forme,Tornadus Incarnate Forme
24.081%,Raikou,Tornadus Incarnate Forme
67.440%,Galarian Weezing,Tornadus Incarnate Forme
72.580%,Heliolisk,Tornadus Incarnate Forme
11.811%,Tapu Bulu,Tornadus Incarnate Forme
85.030%,Toxicroak,Tornadus Incarnate Forme
55.525%,Lucario,Tornadus Incarnate Forme
42.639%,Gigalith,Tornadus Incarnate Forme
68.230%,Lurantis,Tornadus Incarnate Forme
24.006%,Darmanitan Standard Mode,Tornadus Incarnate Forme
18.262%,Blacephalon,Tornadus Incarnate Forme
82.140%,Drednaw,Tornadus Incarnate Forme
29.131%,Heatran,Tornadus Incarnate Forme
10.155%,Diggersby,Tornadus Incarnate Forme
3.127%,Boltund,Tornadus Incarnate Forme
14.257%,Xurkitree,Tornadus Incarnate Forme
66.388%,Manectric,Tornadus Incarnate Forme
28.181%,Blaziken,Tornadus Incarnate Forme
20.649%,Mime Galarian Mr. Mime,Tornadus Incarnate Forme
17.314%,Kyogre,Kartana
12.726%,Amoonguss,Kartana
8.643%,Whimsicott,Kartana
41.763%,Tornadus Incarnate Forme,Kartana
12.360%,Shedinja,Kartana
42.174%,Raichu,Kartana
51.214%,Tapu Lele,Kartana
11.650%,Seismitoad,Kartana
38.175%,Barraskewda,Kartana
28.366%,Dracovish,Kartana
39.621%,Thundurus Therian Forme,Kartana
9.445%,Inteleon,Kartana
27.035%,Politoed,Kartana
38.921%,Mudsdale,Kartana
2.959%,Drednaw,Kartana
4.712%,Tauros,Kartana
19.736%,Mime Galarian Mr. Mime,Kartana
18.809%,Regieleki,Yveltal
24.719%,Landorus Therian Forme,Yveltal
14.696%,Gastrodon,Yveltal
13.186%,Blastoise,Yveltal
14.262%,Venusaur,Yveltal
10.944%,Dusclops,Yveltal
16.309%,Torkoal,Yveltal
31.425%,Raichu,Yveltal
22.355%,Urshifu Rapid Strike Style,Yveltal
14.770%,Tapu Lele,Yveltal
48.354%,Heat Rotom,Yveltal
13.438%,Bronzong,Yveltal
44.173%,Coalossal,Yveltal
13.130%,Dragapult,Yveltal
28.964%,Lapras,Yveltal
22.550%,Celesteela,Yveltal
32.763%,Pheromosa,Yveltal
51.192%,Landorus Incarnate Forme,Yveltal
46.577%,Glastrier,Yveltal
19.884%,Meowstic Male,Yveltal
20.646%,Snorlax,Yveltal
14.222%,Galarian Moltres,Yveltal
10.855%,Milotic,Yveltal
32.320%,Escavalier,Yveltal
7.903%,Politoed,Yveltal
78.588%,Swampert,Yveltal
30.913%,Alolan Marowak,Yveltal
21.136%,Slowbro,Yveltal
11.438%,Toxapex,Yveltal
24.284%,Togedemaru,Yveltal
24.426%,Tapu Bulu,Yveltal
42.010%,Krookodile,Yveltal
37.623%,Excadrill,Yveltal
37.259%,Centiskorch,Yveltal
13.998%,Klefki,Yveltal
9.044%,Kabutops,Yveltal
23.955%,Bisharp,Yveltal
16.236%,Cresselia,Yveltal
33.596%,Conkeldurr,Yveltal
39.447%,Cobalion,Yveltal
27.779%,Black Kyurem,Yveltal
44.967%,Silvally,Yveltal
47.426%,Accelgor,Yveltal
6.947%,Dugtrio,Yveltal
59.202%,Palossand,Yveltal
50.988%,Kommo-o,Yveltal
18.947%,Rillaboom,Blastoise
21.836%,Calyrex Shadow Rider,Blastoise
22.816%,Eternatus,Blastoise
20.418%,Regigigas,Blastoise
17.193%,Comfey,Blastoise
14.893%,Reshiram,Blastoise
9.707%,Dawn Wings Necrozma,Blastoise
31.470%,Chansey,Blastoise
20.174%,Darmanitan Galarian Standard Mode,Blastoise
26.752%,Volcarona,Blastoise
5.715%,Giratina Origin Forme,Blastoise
22.854%,Galarian Weezing,Blastoise
28.900%,Excadrill,Blastoise
9.666%,Sceptile,Blastoise
21.916%,Butterfree,Blastoise
19.859%,Altaria,Blastoise
13.262%,Klefki,Blastoise
20.438%,Jellicent,Blastoise
17.950%,Xurkitree,Blastoise
42.530%,Drampa,Blastoise
18.065%,Virizion,Blastoise
27.652%,Marowak,Blastoise
17.099%,Groudon,Venusaur
9.203%,Yveltal,Venusaur
17.286%,Porygon2,Venusaur
19.592%,Xerneas,Venusaur
60.940%,Torkoal,Venusaur
19.007%,Lunala,Venusaur
14.457%,Tapu Fini,Venusaur
18.476%,Ho-oh,Venusaur
62.841%,Bronzong,Venusaur
25.931%,Mamoswine,Venusaur
19.213%,Metagross,Venusaur
19.574%,Suicune,Venusaur
34.727%,Tapu Koko,Venusaur
17.703%,Glastrier,Venusaur
14.813%,Zekrom,Venusaur
44.526%,Milotic,Venusaur
25.191%,Salamence,Venusaur
4.563%,Azumarill,Venusaur
52.960%,Scizor,Venusaur
18.185%,Alolan Ninetales,Venusaur
50.969%,Togedemaru,Venusaur
54.206%,Krookodile,Venusaur
41.651%,Chandelure,Venusaur
32.525%,Latias,Venusaur
26.206%,Articuno,Venusaur
2.629%,Trevenant,Venusaur
67.292%,Registeel,Venusaur
11.666%,Corviknight,Venusaur
1.395%,Mr. Rime,Venusaur
8.554%,Dugtrio,Venusaur
14.792%,Zoroark,Venusaur
19.752%,Lilligant,Venusaur
24.481%,Braviary,Venusaur
22.996%,Copperajah,Venusaur
16.722%,Sharpedo,Venusaur
71.038%,Ninetales,Venusaur
35.501%,Lycanroc Dusk Form,Venusaur
55.914%,Galarian Slowbro,Venusaur
52.044%,Aromatisse,Venusaur
8.909%,Miltank,Venusaur
44.380%,Magneton,Venusaur
18.486%,Exploud,Venusaur
61.187%,Gardevoir,Venusaur
26.788%,Galarian Corsola,Venusaur
20.384%,Maractus,Venusaur
87.733%,Corsola,Venusaur
11.364%,Groudon,Xerneas
9.967%,Charizard,Xerneas
55.543%,Bronzong,Xerneas
9.823%,Landorus Incarnate Forme,Xerneas
23.016%,Klinklang,Xerneas
17.198%,Tyranitar,Xerneas
22.703%,Kingler,Xerneas
6.474%,Kangaskhan,Xerneas
24.783%,Krookodile,Xerneas
17.904%,Excadrill,Xerneas
14.573%,Chandelure,Xerneas
55.076%,Dracozolt,Xerneas
18.389%,Aegislash Shield Forme,Xerneas
22.084%,Gigalith,Xerneas
8.765%,Aerodactyl,Xerneas
27.876%,Kommo-o,Xerneas
31.331%,Hawlucha,Xerneas
33.807%,Amoonguss,Palkia
46.625%,Calyrex Ice Rider,Palkia
21.904%,Porygon2,Palkia
17.724%,Ferrothorn,Palkia
55.215%,Dusclops,Palkia
20.707%,Torkoal,Palkia
38.769%,Entei,Palkia
15.861%,Tapu Fini,Palkia
17.314%,Mimikyu,Palkia
42.197%,Gothitelle,Palkia
25.551%,Pheromosa,Palkia
33.672%,Clefairy,Palkia
21.199%,Chansey,Palkia
15.091%,Dusk Mane Necrozma,Palkia
17.975%,Alcremie,Palkia
16.942%,Tapu Koko,Palkia
34.073%,Liepard,Palkia
17.383%,Glastrier,Palkia
31.375%,Shuckle,Palkia
34.144%,Stakataka,Palkia
15.530%,Galarian Moltres,Palkia
38.434%,Hatterene,Palkia
35.143%,Escavalier,Palkia
51.611%,Slowking,Palkia
5.253%,Azumarill,Palkia
24.314%,Alolan Marowak,Palkia
17.587%,Oranguru,Palkia
73.121%,Kangaskhan,Palkia
51.326%,Krookodile,Palkia
68.175%,Shiftry,Palkia
14.213%,Pincurchin,Palkia
21.227%,Butterfree,Palkia
49.518%,Altaria,Palkia
12.791%,Klefki,Palkia
28.852%,Froslass,Palkia
20.438%,Jellicent,Palkia
10.262%,Dragonite,Palkia
37.231%,Darmanitan Standard Mode,Palkia
18.415%,Cradily,Palkia
23.169%,Articuno,Palkia
20.172%,Leafeon,Palkia
24.806%,Abomasnow,Palkia
5.855%,Wishiwashi Solo Form,Palkia
27.445%,Goodra,Palkia
83.420%,Garbodor,Palkia
37.450%,Glaceon,Palkia
7.729%,Manectric,Palkia
36.977%,Espeon,Palkia
64.747%,Cinccino,Palkia
56.960%,Cloyster,Palkia
36.255%,Drampa,Palkia
31.334%,Amoonguss,Calyrex Ice Rider
13.515%,Indeedee Female,Calyrex Ice Rider
54.721%,Palkia,Calyrex Ice Rider
28.951%,Porygon2,Calyrex Ice Rider
26.125%,Urshifu Single Strike Style,Calyrex Ice Rider
22.841%,Dialga,Calyrex Ice Rider
75.519%,Dusclops,Calyrex Ice Rider
30.138%,Torkoal,Calyrex Ice Rider
28.936%,Tapu Fini,Calyrex Ice Rider
24.547%,Sableye,Calyrex Ice Rider
60.506%,Mimikyu,Calyrex Ice Rider
12.778%,Seismitoad,Calyrex Ice Rider
15.534%,Cinderace,Calyrex Ice Rider
38.495%,Togekiss,Calyrex Ice Rider
12.801%,Indeedee Male,Calyrex Ice Rider
3.144%,Dawn Wings Necrozma,Calyrex Ice Rider
33.344%,Pheromosa,Calyrex Ice Rider
48.195%,Landorus Incarnate Forme,Calyrex Ice Rider
22.674%,Alcremie,Calyrex Ice Rider
52.931%,Tapu Koko,Calyrex Ice Rider
17.301%,Liepard,Calyrex Ice Rider
18.329%,Zekrom,Calyrex Ice Rider
36.916%,Stakataka,Calyrex Ice Rider
64.308%,Klinklang,Calyrex Ice Rider
63.248%,Hatterene,Calyrex Ice Rider
34.175%,Escavalier,Calyrex Ice Rider
66.718%,Slowking,Calyrex Ice Rider
