,Item,UsePercentage,Pokemon
156,Other,2.515,Urshifu Single Strike Style
157,Power Herb,99.807,Xerneas
158,Other,0.193,Xerneas
159,Life Orb,76.991,Dialga
160,Adamant Orb,10.411,Dialga
161,Weakness Policy,5.436,Dialga
162,Safety Goggles,2.326,Dialga
163,Other,4.836,Dialga
164,Safety Goggles,57.500,Shedinja
165,Focus Sash,42.056,Shedinja
166,Other,0.444,Shedinja
167,Weakness Policy,80.174,Solgaleo
168,Life Orb,10.486,Solgaleo
169,Assault Vest,9.034,Solgaleo
170,Other,0.305,Solgaleo
171,Eviolite,99.568,Dusclops
172,Other,0.432,Dusclops
173,Charcoal,44.962,Torkoal
174,Choice Specs,14.971,Torkoal
175,Focus Sash,14.667,Torkoal
176,Sitrus Berry,12.993,Torkoal
177,Shuca Berry,8.315,Torkoal
178,Other,4.093,Torkoal
179,Life Orb,91.604,Kingdra
180,Focus Sash,5.955,Kingdra
181,Other,2.442,Kingdra
182,Focus Sash,86.270,Raichu
183,Assault Vest,6.598,Raichu
184,Air Balloon,4.274,Raichu
185,Other,2.858,Raichu
186,Shuca Berry,65.383,Weezing
187,Focus Sash,26.442,Weezing
188,Black Sludge,5.177,Weezing
189,Other,2.998,Weezing
190,Choice Scarf,56.319,Entei
191,Assault Vest,19.525,Entei
192,Life Orb,15.764,Entei
193,Shuca Berry,3.369,Entei
194,Weakness Policy,1.092,Entei
195,Other,3.930,Entei
196,Power Herb,94.005,Lunala
197,Life Orb,1.193,Lunala
198,Other,4.802,Lunala
199,Life Orb,81.363,White Kyurem
200,Choice Scarf,6.298,White Kyurem
201,Lum Berry,3.629,White Kyurem
202,Babiri Berry,2.958,White Kyurem
203,Assault Vest,2.672,White Kyurem
204,Other,3.079,White Kyurem
205,Leftovers,43.479,Tapu Fini
206,Expert Belt,19.610,Tapu Fini
207,Sitrus Berry,12.230,Tapu Fini
208,Misty Seed,7.823,Tapu Fini
209,Choice Specs,6.438,Tapu Fini
210,Life Orb,5.221,Tapu Fini
211,Wiki Berry,1.856,Tapu Fini
212,Other,3.344,Tapu Fini
213,Focus Sash,41.563,Sableye
214,Safety Goggles,25.833,Sableye
215,Iron Ball,14.422,Sableye
216,Eject Button,4.951,Sableye
217,Roseli Berry,4.864,Sableye
218,Sitrus Berry,3.933,Sableye
219,Other,4.433,Sableye
220,Focus Sash,57.855,Urshifu Rapid Strike Style
221,Choice Band,28.072,Urshifu Rapid Strike Style
222,Choice Scarf,7.201,Urshifu Rapid Strike Style
223,Mystic Water,2.938,Urshifu Rapid Strike Style
224,Other,3.933,Urshifu Rapid Strike Style
225,Choice Scarf,66.969,Tapu Lele
226,Focus Sash,15.717,Tapu Lele
227,Twisted Spoon,9.604,Tapu Lele
228,Psychic Seed,3.860,Tapu Lele
229,Other,3.851,Tapu Lele
230,Mental Herb,70.366,Mimikyu
231,Safety Goggles,11.942,Mimikyu
232,Babiri Berry,7.566,Mimikyu
233,Starf Berry,3.577,Mimikyu
234,Lum Berry,1.148,Mimikyu
235,Light Clay,1.105,Mimikyu
236,Other,4.296,Mimikyu
237,Focus Sash,69.977,Gothitelle
238,Mental Herb,14.358,Gothitelle
239,Safety Goggles,7.837,Gothitelle
240,Sitrus Berry,3.810,Gothitelle
241,Other,4.018,Gothitelle
242,Life Orb,84.165,Seismitoad
243,Expert Belt,5.872,Seismitoad
244,Assault Vest,4.278,Seismitoad
245,Rindo Berry,2.588,Seismitoad
246,Other,3.097,Seismitoad
247,Weakness Policy,47.930,Ho-oh
248,Safety Goggles,13.807,Ho-oh
249,Assault Vest,7.135,Ho-oh
250,Charti Berry,6.348,Ho-oh
251,Leftovers,5.595,Ho-oh
252,Lum Berry,5.402,Ho-oh
253,Life Orb,4.943,Ho-oh
254,Mago Berry,2.189,Ho-oh
255,Sitrus Berry,1.721,Ho-oh
256,Other,4.931,Ho-oh
257,Safety Goggles,59.055,Heat Rotom
258,Sitrus Berry,28.421,Heat Rotom
259,Life Orb,6.161,Heat Rotom
260,Aguav Berry,2.790,Heat Rotom
261,Other,3.572,Heat Rotom
262,Black Sludge,32.695,Eternatus
263,Life Orb,21.417,Eternatus
264,Dragon Fang,15.350,Eternatus
