,Item,UsePercentage,Pokemon
713,Wacan Berry,2.130,Gyarados
714,Other,4.070,Gyarados
715,Life Orb,62.633,Garchomp
716,Choice Band,7.764,Garchomp
717,Yache Berry,7.168,Garchomp
718,White Herb,6.828,Garchomp
719,Lum Berry,5.815,Garchomp
720,Choice Scarf,3.231,Garchomp
721,Bright Powder,2.453,Garchomp
722,Other,4.107,Garchomp
723,Focus Sash,81.331,Heliolisk
724,Choice Scarf,6.675,Heliolisk
725,Choice Specs,5.394,Heliolisk
726,Life Orb,4.716,Heliolisk
727,Other,1.884,Heliolisk
728,Life Orb,52.823,Tapu Bulu
729,Coba Berry,29.590,Tapu Bulu
730,Babiri Berry,8.313,Tapu Bulu
731,Assault Vest,4.457,Tapu Bulu
732,Other,4.818,Tapu Bulu
733,Flame Orb,68.999,Kangaskhan
734,Assault Vest,22.102,Kangaskhan
735,Life Orb,3.111,Kangaskhan
736,Lum Berry,2.522,Kangaskhan
737,Other,3.265,Kangaskhan
738,Life Orb,52.025,Moltres
739,Leftovers,28.452,Moltres
740,Rocky Helmet,9.633,Moltres
741,Weakness Policy,9.250,Moltres
742,Other,0.640,Moltres
743,Adrenaline Orb,41.681,Krookodile
744,Choice Scarf,33.589,Krookodile
745,Weakness Policy,12.225,Krookodile
746,Assault Vest,6.131,Krookodile
747,Focus Sash,2.072,Krookodile
748,Other,4.301,Krookodile
749,Psychic Seed,94.111,Drifblim
750,Misty Seed,3.228,Drifblim
751,Other,2.662,Drifblim
752,Focus Sash,33.961,Excadrill
753,Assault Vest,27.201,Excadrill
754,Life Orb,18.854,Excadrill
755,Choice Band,10.430,Excadrill
756,Choice Scarf,5.667,Excadrill
757,Other,3.887,Excadrill
758,Wacan Berry,58.272,Primarina
759,Throat Spray,13.511,Primarina
760,Choice Specs,9.405,Primarina
761,Leftovers,8.437,Primarina
762,Assault Vest,3.570,Primarina
763,Rindo Berry,2.520,Primarina
764,Other,4.286,Primarina
765,Coba Berry,68.182,Shiftry
766,Life Orb,17.228,Shiftry
767,Expert Belt,9.676,Shiftry
768,Other,4.914,Shiftry
769,Safety Goggles,40.519,Chandelure
770,Focus Sash,31.743,Chandelure
771,Sitrus Berry,19.876,Chandelure
772,Choice Specs,1.859,Chandelure
773,Life Orb,1.219,Chandelure
774,Other,4.783,Chandelure
775,Assault Vest,88.172,Toxicroak
776,Life Orb,8.123,Toxicroak
777,Other,3.705,Toxicroak
778,Life Orb,80.082,Dracozolt
779,Choice Band,15.819,Dracozolt
780,Other,4.099,Dracozolt
781,Focus Sash,83.534,Sceptile
782,Choice Specs,4.905,Sceptile
783,Light Ball,4.257,Sceptile
784,Weakness Policy,3.121,Sceptile
785,Other,4.183,Sceptile
786,Life Orb,44.761,Pincurchin
787,Choice Specs,36.396,Pincurchin
788,Electric Seed,14.867,Pincurchin
789,Other,3.976,Pincurchin
790,Leftovers,30.836,Aegislash Shield Forme
791,Life Orb,28.889,Aegislash Shield Forme
792,Iron Ball,15.587,Aegislash Shield Forme
793,Lagging Tail,5.508,Aegislash Shield Forme
794,Aguav Berry,3.348,Aegislash Shield Forme
795,Air Balloon,2.834,Aegislash Shield Forme
796,Occa Berry,2.787,Aegislash Shield Forme
797,Weakness Policy,2.117,Aegislash Shield Forme
798,Metal Coat,2.082,Aegislash Shield Forme
799,Safety Goggles,0.877,Aegislash Shield Forme
800,Lum Berry,0.859,Aegislash Shield Forme
801,Other,4.276,Aegislash Shield Forme
802,Coba Berry,54.127,Centiskorch
803,Safety Goggles,21.084,Centiskorch
804,Leftovers,16.943,Centiskorch
805,Assault Vest,3.413,Centiskorch
806,Other,4.433,Centiskorch
807,Sitrus Berry,99.826,Greedent
808,Other,0.174,Greedent
809,Life Orb,52.519,Porygon-Z
810,Silk Scarf,33.092,Porygon-Z
811,Assault Vest,12.818,Porygon-Z
812,Other,1.571,Porygon-Z
813,Focus Sash,89.068,Butterfree
814,Choice Scarf,6.238,Butterfree
815,Other,4.694,Butterfree
816,Choice Scarf,73.236,Lucario
817,Life Orb,6.975,Lucario
818,Shuca Berry,6.681,Lucario
819,Sitrus Berry,5.445,Lucario
820,Expert Belt,2.285,Lucario
821,Assault Vest,2.044,Lucario
822,Other,3.333,Lucario
823,Assault Vest,43.262,Mudsdale
824,Iron Ball,38.922,Mudsdale
825,Weakness Policy,16.058,Mudsdale
826,Other,1.758,Mudsdale
827,Focus Sash,78.532,Cherrim
828,Miracle Seed,9.329,Cherrim
829,Coba Berry,4.365,Cherrim
830,Sitrus Berry,2.964,Cherrim
831,Other,4.810,Cherrim
832,Sitrus Berry,81.960,Exeggutor
833,Blunder Policy,12.363,Exeggutor
834,Psychic Seed,4.871,Exeggutor
835,Other,0.806,Exeggutor
836,Mago Berry,61.367,Altaria
837,Focus Sash,28.807,Altaria
838,Sitrus Berry,6.059,Altaria
839,Other,3.767,Altaria
840,Light Clay,71.158,Klefki
841,Safety Goggles,14.903,Klefki
842,Leftovers,6.833,Klefki
843,Iron Ball,3.586,Klefki
844,Other,3.520,Klefki
845,Focus Sash,53.211,Froslass
846,Adrenaline Orb,38.513,Froslass
847,Safety Goggles,6.508,Froslass
848,Other,1.769,Froslass
849,Weakness Policy,51.724,Gigalith
850,Babiri Berry,30.233,Gigalith
851,Assault Vest,15.512,Gigalith
852,Other,2.531,Gigalith
853,Focus Sash,46.971,Jellicent
854,Wacan Berry,16.086,Jellicent
855,Lum Berry,15.841,Jellicent
856,Leftovers,8.714,Jellicent
857,Sitrus Berry,5.423,Jellicent
858,Life Orb,2.656,Jellicent
859,Other,4.308,Jellicent
860,Focus Sash,89.668,Riolu
861,Mental Herb,8.316,Riolu
862,Other,2.016,Riolu
863,Weakness Policy,37.405,Mandibuzz
864,Wacan Berry,27.604,Mandibuzz
865,Psychic Seed,24.165,Mandibuzz
866,Leftovers,5.095,Mandibuzz
867,Grassy Seed,4.865,Mandibuzz
868,Other,0.866,Mandibuzz
869,Sitrus Berry,82.803,Lurantis
870,Assault Vest,7.919,Lurantis
871,Aguav Berry,3.377,Lurantis
872,Life Orb,2.879,Lurantis
873,Other,3.023,Lurantis
874,Focus Sash,37.826,Latias
875,Safety Goggles,22.223,Latias
876,Sitrus Berry,13.337,Latias
877,Roseli Berry,12.260,Latias
878,Choice Scarf,9.386,Latias
879,Other,4.968,Latias
880,Sitrus Berry,73.617,Alolan Exeggutor
881,Psychic Seed,9.849,Alolan Exeggutor
882,Yache Berry,7.878,Alolan Exeggutor
883,Coba Berry,5.680,Alolan Exeggutor
884,Other,2.976,Alolan Exeggutor
885,Choice Band,33.999,Dragonite
886,Weakness Policy,19.822,Dragonite
887,Expert Belt,13.940,Dragonite
888,Lum Berry,7.799,Dragonite
889,Rawst Berry,6.158,Dragonite
890,Safety Goggles,4.981,Dragonite
891,Assault Vest,3.080,Dragonite
892,Dragon Fang,2.660,Dragonite
893,Choice Specs,2.192,Dragonite
894,Life Orb,1.717,Dragonite
895,Other,3.650,Dragonite
896,Choice Scarf,87.895,Darmanitan Standard Mode
897,Life Orb,9.677,Darmanitan Standard Mode
898,Other,2.428,Darmanitan Standard Mode
899,Leftovers,47.894,Cradily
900,Power Herb,42.168,Cradily
901,Iapapa Berry,2.705,Cradily
902,Babiri Berry,2.187,Cradily
903,Rocky Helmet,1.836,Cradily
904,Other,3.211,Cradily
905,Focus Sash,64.875,Obstagoon
906,Adrenaline Orb,15.766,Obstagoon
907,Assault Vest,9.142,Obstagoon
908,Flame Orb,7.433,Obstagoon
909,Other,2.784,Obstagoon
910,Eject Pack,38.036,Scrafty
911,Assault Vest,21.587,Scrafty
912,Safety Goggles,19.836,Scrafty
913,Roseli Berry,11.113,Scrafty
914,Leftovers,4.471,Scrafty
915,Other,4.958,Scrafty
916,Focus Sash,81.442,Aerodactyl
917,Life Orb,8.680,Aerodactyl
918,Choice Scarf,4.430,Aerodactyl
919,Heavy-Duty Boots,1.801,Aerodactyl
920,Other,3.647,Aerodactyl
921,Weakness Policy,87.997,Kabutops
922,Life Orb,11.767,Kabutops
923,Other,0.236,Kabutops
924,Life Orb,52.814,Articuno
925,Babiri Berry,31.760,Articuno
926,Weakness Policy,10.774,Articuno
927,Other,4.652,Articuno
928,Choice Scarf,75.549,Blacephalon
929,Life Orb,16.947,Blacephalon
930,Choice Specs,3.717,Blacephalon
931,Other,3.786,Blacephalon
932,Assault Vest,26.922,Duraludon
933,Shuca Berry,21.323,Duraludon
934,Choice Specs,17.540,Duraludon
935,Life Orb,15.096,Duraludon
936,Air Balloon,6.727,Duraludon
937,Sitrus Berry,3.208,Duraludon
938,Weakness Policy,2.975,Duraludon
939,Leftovers,2.579,Duraludon
940,Other,3.630,Duraludon
941,Iron Ball,92.722,Trevenant
942,Psychic Seed,3.179,Trevenant
943,Other,4.100,Trevenant
944,Choice Band,85.405,Drednaw
945,Life Orb,8.145,Drednaw
946,Weakness Policy,2.015,Drednaw
947,Other,4.436,Drednaw
948,Air Balloon,57.449,Heatran
949,Leftovers,13.694,Heatran
950,Shuca Berry,8.076,Heatran
951,Choice Scarf,7.008,Heatran
952,Chople Berry,6.592,Heatran
953,Life Orb,2.888,Heatran
954,Other,4.293,Heatran
955,Babiri Berry,82.981,Clefable
956,Leftovers,11.290,Clefable
957,Focus Sash,3.026,Clefable
958,Other,2.703,Clefable
959,Sitrus Berry,41.473,Appletun
960,Leftovers,28.644,Appletun
961,Choice Specs,19.493,Appletun
962,Yache Berry,7.003,Appletun
963,Other,3.386,Appletun
964,Focus Sash,43.100,Bisharp
965,Life Orb,24.060,Bisharp
966,Black Glasses,22.243,Bisharp
967,Assault Vest,4.365,Bisharp
968,Adrenaline Orb,2.757,Bisharp
969,Other,3.476,Bisharp
970,Leftovers,96.182,Registeel
971,Other,3.818,Registeel
972,Weakness Policy,33.591,Rhyperior
973,Custap Berry,24.724,Rhyperior
974,Zoom Lens,14.640,Rhyperior
975,White Herb,10.016,Rhyperior
976,Rindo Berry,6.738,Rhyperior
977,Life Orb,5.083,Rhyperior
978,Aguav Berry,2.303,Rhyperior
979,Other,2.905,Rhyperior
980,Leftovers,56.743,Stonjourner
981,Wide Lens,17.236,Stonjourner
982,Focus Sash,9.433,Stonjourner
983,Rindo Berry,7.254,Stonjourner
984,Air Balloon,3.797,Stonjourner
985,Rocky Helmet,2.717,Stonjourner
986,Other,2.819,Stonjourner
987,Assault Vest,91.626,Electivire
988,Choice Band,4.130,Electivire
989,Other,4.243,Electivire
990,Life Orb,45.181,Leafeon
991,Choice Band,25.362,Leafeon
992,Assault Vest,25.215,Leafeon
993,Other,4.242,Leafeon
994,Assault Vest,53.551,Abomasnow
995,Light Clay,25.977,Abomasnow
996,Focus Sash,19.537,Abomasnow
997,Other,0.936,Abomasnow
998,Assault Vest,49.621,Diggersby
999,Life Orb,43.344,Diggersby
1000,White Herb,6.428,Diggersby
1001,Other,0.606,Diggersby
1002,Weakness Policy,61.733,Giratina Altered Forme
1003,Leftovers,21.063,Giratina Altered Forme
1004,Assault Vest,12.923,Giratina Altered Forme
1005,Other,4.281,Giratina Altered Forme
1006,White Herb,84.634,Swoobat
1007,Weakness Policy,9.679,Swoobat
1008,Focus Sash,2.880,Swoobat
1009,Other,2.807,Swoobat
1010,Leftovers,67.236,Corviknight
1011,Rocky Helmet,11.889,Corviknight
1012,Occa Berry,10.750,Corviknight
1013,Lum Berry,4.233,Corviknight
1014,Weakness Policy,2.141,Corviknight
1015,Other,3.750,Corviknight
1016,Choice Specs,43.467,Vikavolt
1017,Life Orb,35.071,Vikavolt
1018,Assault Vest,16.896,Vikavolt
1019,Other,4.567,Vikavolt
1020,Life Orb,53.866,Durant
1021,Expert Belt,43.898,Durant
1022,Other,2.235,Durant
1023,Leftovers,38.119,Cresselia
1024,Mental Herb,18.978,Cresselia
1025,Kee Berry,17.991,Cresselia
1026,Utility Umbrella,8.739,Cresselia
1027,Bright Powder,6.188,Cresselia
1028,Light Clay,3.549,Cresselia
1029,Wiki Berry,2.360,Cresselia
1030,Other,4.076,Cresselia
1031,Focus Sash,98.728,Mr. Rime
1032,Other,1.272,Mr. Rime
1033,Life Orb,93.090,Wishiwashi Solo Form
1034,White Herb,2.945,Wishiwashi Solo Form
1035,Other,3.965,Wishiwashi Solo Form
1036,Flame Orb,74.910,Conkeldurr
1037,Assault Vest,13.355,Conkeldurr
1038,Life Orb,9.282,Conkeldurr
1039,Other,2.452,Conkeldurr
1040,Focus Sash,95.921,Boltund
1041,Other,4.079,Boltund
1042,Lum Berry,33.766,Terrakion
1043,Coba Berry,24.849,Terrakion
1044,Life Orb,16.407,Terrakion
1045,Safety Goggles,8.139,Terrakion
1046,Shuca Berry,6.009,Terrakion
1047,Focus Sash,5.671,Terrakion
1048,Weakness Policy,1.225,Terrakion
1049,Other,3.934,Terrakion
1050,Assault Vest,81.598,Cobalion
1051,Life Orb,15.128,Cobalion
1052,Other,3.273,Cobalion
1053,Babiri Berry,25.146,Black Kyurem
1054,Weakness Policy,23.620,Black Kyurem
1055,Power Herb,22.706,Black Kyurem
1056,Life Orb,7.170,Black Kyurem
1057,Lum Berry,6.867,Black Kyurem
1058,Leftovers,4.157,Black Kyurem
1059,Assault Vest,3.888,Black Kyurem
1060,Safety Goggles,3.537,Black Kyurem
1061,Other,2.909,Black Kyurem
1062,Focus Sash,82.951,Mantine
1063,Wacan Berry,11.011,Mantine
1064,Sitrus Berry,5.075,Mantine
1065,Other,0.963,Mantine
1066,Lum Berry,79.752,Machamp
1067,Focus Sash,8.929,Machamp
1068,Life Orb,3.239,Machamp
1069,Assault Vest,2.466,Machamp
1070,,2.101,Machamp
1071,Other,3.512,Machamp
1072,Assault Vest,68.715,Goodra
1073,Blunder Policy,10.415,Goodra
1074,Leftovers,6.710,Goodra
1075,Expert Belt,5.620,Goodra
1076,Choice Specs,5.385,Goodra
1077,Other,3.155,Goodra
1078,Choice Band,56.419,Silvally
1079,Life Orb,38.499,Silvally
1080,Normal Gem,5.080,Silvally
1081,Other,0.001,Silvally
1082,Focus Sash,80.752,Accelgor
1083,Leftovers,6.055,Accelgor
1084,Eject Button,3.577,Accelgor
1085,Coba Berry,2.503,Accelgor
1086,Bright Powder,2.404,Accelgor
1087,Other,4.708,Accelgor
1088,Assault Vest,48.927,Xurkitree
1089,Magnet,21.417,Xurkitree
1090,Air Balloon,18.400,Xurkitree
1091,Choice Scarf,9.753,Xurkitree
1092,Other,1.504,Xurkitree
1093,Life Orb,86.384,Tauros
1094,Safety Goggles,5.508,Tauros
1095,Assault Vest,3.810,Tauros
1096,Other,4.298,Tauros
1097,Weakness Policy,99.797,Garbodor
1098,Other,0.203,Garbodor
1099,Flame Orb,86.430,Luxray
1100,Iapapa Berry,10.721,Luxray
1101,Other,2.849,Luxray
1102,Focus Sash,99.123,Dugtrio
1103,Other,0.877,Dugtrio
1104,Occa Berry,40.403,Mow Rotom
1105,Focus Sash,22.467,Mow Rotom
1106,Sitrus Berry,18.870,Mow Rotom
1107,Life Orb,9.646,Mow Rotom
1108,Leftovers,3.935,Mow Rotom
1109,Other,4.679,Mow Rotom
1110,Focus Sash,44.902,Gengar
1111,Choice Scarf,16.502,Gengar
1112,Life Orb,10.474,Gengar
1113,Air Balloon,7.975,Gengar
1114,Leftovers,7.303,Gengar
1115,Black Sludge,3.434,Gengar
1116,Poison Barb,2.603,Gengar
1117,Lum Berry,2.383,Gengar
1118,Other,4.425,Gengar
1119,Focus Sash,50.875,Glaceon
1120,Life Orb,36.281,Glaceon
1121,Never-Melt Ice,11.259,Glaceon
1122,Other,1.585,Glaceon
1123,Air Balloon,88.335,Manectric
1124,Choice Specs,4.640,Manectric
1125,Damp Rock,4.260,Manectric
1126,Other,2.765,Manectric
1127,Weakness Policy,83.017,Palossand
1128,Leftovers,13.929,Palossand
1129,Other,3.054,Palossand
1130,Focus Sash,60.468,Espeon
1131,Choice Scarf,22.267,Espeon
1132,Life Orb,11.600,Espeon
1133,Mental Herb,3.964,Espeon
1134,Other,1.702,Espeon
1135,Focus Sash,68.577,Crobat
1136,Mental Herb,26.423,Crobat
1137,Wide Lens,2.661,Crobat
1138,Other,2.340,Crobat
1139,Life Orb,87.843,Tyrantrum
1140,Assault Vest,11.294,Tyrantrum
1141,Other,0.863,Tyrantrum
1142,Choice Scarf,64.809,Cinccino
1143,Focus Sash,14.727,Cinccino
1144,Expert Belt,10.712,Cinccino
1145,Other,2.141,Cinccino
1146,Sitrus Berry,45.309,Kommo-o
1147,Throat Spray,40.391,Kommo-o
1148,Assault Vest,10.972,Kommo-o
1149,Other,3.328,Kommo-o
1150,Choice Scarf,58.463,Blissey
1151,Leftovers,39.970,Blissey
1152,Other,1.567,Blissey
1153,Focus Sash,68.264,Cloyster
1154,White Herb,26.789,Cloyster
1155,Other,4.947,Cloyster
1156,Focus Sash,29.963,Blaziken
1157,Wide Lens,19.220,Blaziken
1158,Air Balloon,17.931,Blaziken
1159,Life Orb,14.447,Blaziken
1160,Expert Belt,12.116,Blaziken
1161,Heavy-Duty Boots,3.682,Blaziken
1162,Other,2.641,Blaziken
1163,Assault Vest,84.051,Drampa
1164,Life Orb,12.481,Drampa
1165,Other,3.469,Drampa
1166,Focus Sash,45.365,Hawlucha
1167,Psychic Seed,41.198,Hawlucha
1168,Expert Belt,8.049,Hawlucha
1169,Grassy Seed,3.201,Hawlucha
1170,Other,2.186,Hawlucha
1171,Focus Sash,50.418,Mime Galarian Mr. Mime
1172,Eviolite,49.582,Mime Galarian Mr. Mime
1173,Other,0.000,Mime Galarian Mr. Mime
1174,Aguav Berry,35.781,Grapploct
1175,Sitrus Berry,22.242,Grapploct
1176,Leftovers,19.364,Grapploct
1177,Focus Sash,10.171,Grapploct
1178,Figy Berry,4.341,Grapploct
1179,Assault Vest,3.435,Grapploct
1180,Other,4.666,Grapploct
1181,Focus Sash,58.529,Zoroark
1182,Life Orb,9.622,Zoroark
1183,Choice Scarf,9.235,Zoroark
1184,Black Glasses,5.967,Zoroark
1185,Choice Specs,5.742,Zoroark
1186,Expert Belt,2.773,Zoroark
1187,Choice Band,2.465,Zoroark
1188,Throat Spray,2.094,Zoroark
1189,Other,3.574,Zoroark
1190,Wide Lens,46.914,Lilligant
1191,Focus Sash,26.615,Lilligant
1192,Figy Berry,16.976,Lilligant
1193,Mental Herb,3.271,Lilligant
1194,Miracle Seed,2.343,Lilligant
1195,Other,3.880,Lilligant
1196,Life Orb,38.251,Clawitzer
1197,Choice Specs,18.107,Clawitzer
1198,Assault Vest,13.470,Clawitzer
1199,Aguav Berry,10.097,Clawitzer
1200,Expert Belt,7.073,Clawitzer
1201,Focus Sash,3.846,Clawitzer
1202,Sitrus Berry,3.234,Clawitzer
1203,Rindo Berry,2.714,Clawitzer
1204,Other,3.207,Clawitzer
1205,Assault Vest,94.662,Qwilfish
1206,Focus Sash,3.498,Qwilfish
1207,Other,1.840,Qwilfish
1208,Choice Scarf,84.720,Haxorus
1209,Life Orb,7.720,Haxorus
1210,Choice Band,2.800,Haxorus
1211,Other,4.760,Haxorus
1212,Weakness Policy,27.678,Dhelmise
1213,Assault Vest,22.910,Dhelmise
1214,Iron Ball,20.090,Dhelmise
1215,Life Orb,16.769,Dhelmise
1216,Room Service,4.092,Dhelmise
1217,Figy Berry,3.269,Dhelmise
1218,Aguav Berry,1.816,Dhelmise
1219,Other,3.375,Dhelmise
1220,Room Service,24.939,Runerigus
1221,Weakness Policy,20.736,Runerigus
1222,Leftovers,16.247,Runerigus
1223,Kasib Berry,14.341,Runerigus
1224,Mental Herb,8.190,Runerigus
1225,Focus Sash,2.679,Runerigus
1226,Red Card,1.651,Runerigus
1227,Psychic Seed,1.644,Runerigus
1228,Colbur Berry,1.493,Runerigus
1229,Rocky Helmet,1.438,Runerigus
1230,Iapapa Berry,1.402,Runerigus
1231,Aguav Berry,1.370,Runerigus
1232,Other,3.869,Runerigus
1233,Lum Berry,49.678,Braviary
1234,Safety Goggles,18.173,Braviary
1235,Life Orb,14.766,Braviary
1236,Focus Sash,7.310,Braviary
1237,Assault Vest,3.728,Braviary
1238,Adrenaline Orb,1.414,Braviary
1239,Other,4.930,Braviary
1240,Life Orb,28.509,Virizion
1241,Assault Vest,19.252,Virizion
1242,Weakness Policy,18.271,Virizion
1243,Coba Berry,12.306,Virizion
1244,Lum Berry,6.238,Virizion
1245,Kee Berry,3.770,Virizion
1246,Mago Berry,3.232,Virizion
1247,Leftovers,2.859,Virizion
1248,Grassy Seed,1.501,Virizion
1249,Other,4.063,Virizion
1250,Eviolite,98.257,Togetic
1251,Other,1.743,Togetic
1252,Choice Specs,27.238,Alolan Raichu
1253,Focus Sash,22.574,Alolan Raichu
1254,Magnet,22.470,Alolan Raichu
1255,Life Orb,17.894,Alolan Raichu
1256,Expert Belt,3.513,Alolan Raichu
1257,Colbur Berry,2.319,Alolan Raichu
1258,Other,3.993,Alolan Raichu
1259,Life Orb,33.198,Beartic
1260,Choice Band,28.503,Beartic
1261,Assault Vest,24.972,Beartic
1262,Expert Belt,4.724,Beartic
1263,Never-Melt Ice,4.253,Beartic
1264,Other,4.350,Beartic
1265,Assault Vest,30.805,Copperajah
1266,Weakness Policy,29.296,Copperajah
1267,Life Orb,19.829,Copperajah
1268,Expert Belt,6.682,Copperajah
1269,Aguav Berry,5.539,Copperajah
1270,Cell Battery,2.872,Copperajah
1271,Other,4.978,Copperajah
1272,Life Orb,77.662,Flapple
1273,Choice Band,5.750,Flapple
1274,Wide Lens,5.685,Flapple
1275,Liechi Berry,3.293,Flapple
1276,Haban Berry,2.576,Flapple
1277,Muscle Band,0.990,Flapple
1278,Other,4.044,Flapple
1279,Pixie Plate,36.687,Sylveon
1280,Choice Specs,27.632,Sylveon
1281,Throat Spray,23.819,Sylveon
1282,Assault Vest,2.986,Sylveon
1283,Babiri Berry,2.569,Sylveon
1284,Life Orb,1.710,Sylveon
1285,Other,4.597,Sylveon
1286,Psychic Seed,84.908,Slurpuff
1287,Sitrus Berry,8.088,Slurpuff
1288,Grassy Seed,3.463,Slurpuff
1289,Other,3.541,Slurpuff
1290,Sitrus Berry,80.486,Eiscue Ice Face
1291,Salac Berry,6.532,Eiscue Ice Face
1292,Weakness Policy,5.846,Eiscue Ice Face
1293,Iapapa Berry,3.591,Eiscue Ice Face
1294,Other,3.544,Eiscue Ice Face
1295,Sitrus Berry,22.550,Hippowdon
1296,Rindo Berry,22.019,Hippowdon
1297,Iapapa Berry,17.819,Hippowdon
1298,Leftovers,9.570,Hippowdon
1299,Aguav Berry,8.821,Hippowdon
1300,Weakness Policy,6.626,Hippowdon
1301,Lum Berry,6.100,Hippowdon
1302,Assault Vest,1.639,Hippowdon
1303,Other,4.856,Hippowdon
1304,Life Orb,44.445,Alakazam
1305,Focus Sash,36.549,Alakazam
1306,Choice Specs,9.725,Alakazam
1307,Wise Glasses,1.950,Alakazam
1308,Twisted Spoon,1.684,Alakazam
1309,Eviolite,1.412,Alakazam
1310,Other,4.236,Alakazam
1311,Eviolite,98.396,Torracat
1312,Other,1.604,Torracat
1313,Psychic Seed,76.335,Thievul
1314,Grassy Seed,16.132,Thievul
1315,Weakness Policy,4.363,Thievul
1316,Other,3.170,Thievul
1317,Weakness Policy,24.960,Arctozolt
1318,Magnet,21.542,Arctozolt
1319,Assault Vest,20.999,Arctozolt
1320,Choice Scarf,13.041,Arctozolt
1321,Choice Band,10.288,Arctozolt
1322,Life Orb,5.161,Arctozolt
1323,Other,4.009,Arctozolt
1324,Colbur Berry,55.098,Cofagrigus
1325,Mental Herb,19.563,Cofagrigus
1326,Sitrus Berry,10.380,Cofagrigus
1327,Leftovers,9.264,Cofagrigus
1328,Rocky Helmet,2.061,Cofagrigus
1329,Other,3.634,Cofagrigus
1330,Power Herb,41.063,Starmie
1331,Choice Specs,37.533,Starmie
1332,Focus Sash,7.850,Starmie
1333,Choice Scarf,4.185,Starmie
1334,Weakness Policy,3.317,Starmie
1335,Mystic Water,2.794,Starmie
1336,Other,3.258,Starmie
1337,Assault Vest,74.544,Turtonator
1338,Grassy Seed,8.421,Turtonator
1339,White Herb,5.337,Turtonator
1340,Leftovers,4.795,Turtonator
1341,Weakness Policy,3.016,Turtonator
1342,Other,3.887,Turtonator
1343,Life Orb,60.663,Sharpedo
1344,Chople Berry,14.327,Sharpedo
1345,Focus Sash,11.169,Sharpedo
1346,Weakness Policy,7.738,Sharpedo
1347,Choice Scarf,2.660,Sharpedo
1348,Other,3.443,Sharpedo
1349,Focus Sash,57.047,Salazzle
1350,Air Balloon,12.741,Salazzle
1351,Safety Goggles,10.258,Salazzle
1352,Liechi Berry,9.033,Salazzle
1353,,5.419,Salazzle
1354,Other,3.930,Salazzle
1355,Eject Pack,24.700,Ninetales
1356,Choice Specs,18.971,Ninetales
1357,Heat Rock,18.450,Ninetales
1358,Focus Sash,10.784,Ninetales
1359,Wide Lens,6.675,Ninetales
1360,Charcoal,5.091,Ninetales
1361,Choice Scarf,5.061,Ninetales
1362,Life Orb,3.869,Ninetales
1363,Wiki Berry,1.762,Ninetales
1364,Other,4.637,Ninetales
1365,Leek,50.953,Sirfetch'd
1366,Focus Sash,45.164,Sirfetch'd
1367,Other,3.884,Sirfetch'd
1368,Safety Goggles,37.307,Emolga
1369,Choice Scarf,32.253,Emolga
1370,Aguav Berry,14.192,Emolga
1371,Focus Sash,9.928,Emolga
1372,Rocky Helmet,2.717,Emolga
1373,Other,3.603,Emolga
1374,Focus Sash,89.934,Ribombee
1375,Mental Herb,4.448,Ribombee
1376,Rocky Helmet,1.604,Ribombee
1377,Other,4.015,Ribombee
1378,Power Lens,76.569,Charjabug
1379,Eviolite,16.998,Charjabug
1380,Rocky Helmet,3.207,Charjabug
1381,Other,3.226,Charjabug
1382,Choice Specs,44.997,Toxtricity Low Key Form
1383,Magnet,25.254,Toxtricity Low Key Form
1384,Life Orb,11.285,Toxtricity Low Key Form
1385,Focus Sash,7.384,Toxtricity Low Key Form
1386,Throat Spray,3.151,Toxtricity Low Key Form
1387,Choice Scarf,2.784,Toxtricity Low Key Form
1388,Air Balloon,1.719,Toxtricity Low Key Form
1389,Other,3.426,Toxtricity Low Key Form
1390,Iapapa Berry,46.417,Vaporeon
1391,Leftovers,27.610,Vaporeon
1392,Sitrus Berry,12.031,Vaporeon
1393,Life Orb,3.541,Vaporeon
1394,Rindo Berry,2.387,Vaporeon
1395,Weakness Policy,2.266,Vaporeon
1396,Aguav Berry,2.155,Vaporeon
1397,Other,3.594,Vaporeon
1398,Iron Ball,34.087,Mr. Mime
1399,Babiri Berry,32.431,Mr. Mime
1400,Power Anklet,25.023,Mr. Mime
1401,Eviolite,2.501,Mr. Mime
1402,Weakness Policy,1.872,Mr. Mime
1403,Other,4.085,Mr. Mime
1404,Weakness Policy,39.405,Magnezone
1405,Expert Belt,11.225,Magnezone
1406,Grassy Seed,9.428,Magnezone
1407,Choice Specs,7.584,Magnezone
1408,Iapapa Berry,6.514,Magnezone
1409,Magnet,5.609,Magnezone
1410,Assault Vest,5.167,Magnezone
1411,Leftovers,5.146,Magnezone
1412,Life Orb,2.665,Magnezone
1413,Air Balloon,2.571,Magnezone
1414,Other,4.686,Magnezone
1415,Assault Vest,38.301,Gallade
1416,Life Orb,14.512,Gallade
1417,Focus Sash,7.441,Gallade
1418,Choice Band,6.446,Gallade
1419,Psychic Seed,5.359,Gallade
1420,Room Service,4.492,Gallade
1421,Sitrus Berry,3.864,Gallade
1422,Black Belt,3.012,Gallade
1423,Expert Belt,2.997,Gallade
1424,Safety Goggles,2.705,Gallade
1425,Muscle Band,2.198,Gallade
1426,Iapapa Berry,1.877,Gallade
1427,Aguav Berry,1.373,Gallade
1428,Blunder Policy,1.219,Gallade
1429,Other,4.204,Gallade
1430,Assault Vest,48.075,Lopunny
1431,Toxic Orb,24.857,Lopunny
